playerName,playerId,teamName,teamId,primaryPosition,positionGroup,minutesPlayed,averageBallPossession,totalShots,inaccuratePasses,dispossessed,unsuccessfulDribbles,keyPasses,assists,expectedAssists,goals,expectedGoals,marketValue,PEA,PEA/90,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca,SCA/90,adjPEA/90,adjSCA/90,usageRate,attackingInvolvement,teamTotalPEA,teamTotalSCA,RCE
Bashir Humphreys,996910,Burnley,6,DC,Centerback,1578,42.29,9,154,6,6,9,0,0.68,0,0.42,13100000.0,175,9.98,22,7.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,11.8,1.48,0.05,0.044,3487,501,0.88
Yéremy Pino,984624,Crystal Palace,7,AM,Midfielder,2100,45.92,45,211,34,26,48,2,6.11,2,4.51,27000000.0,316,13.54,68,48.0,20.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.91,14.74,3.17,0.084,0.12,3757,568,1.429
Curtis Jones,927353,Liverpool FC,44,MC,Midfielder,1950,59.21,23,138,23,12,21,2,2.79,1,2.77,33000000.0,196,9.05,42,17.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.94,7.64,1.64,0.051,0.048,3807,878,0.941
Morgan Rogers,948261,Aston Villa,40,AM,Midfielder,3285,53.55,84,271,80,76,47,6,4.3,10,6.78,105000000.0,511,14.0,91,52.0,39.0,40.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,33.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.49,13.07,2.32,0.155,0.136,3295,667,0.877
Daniel Ballard,958878,Sunderland,41,DC,Centerback,2148,44.84,26,197,6,2,15,0,0.66,2,2.46,22000000.0,231,9.68,0,,,,,,,,,,,,,,,,,,,0.0,10.79,0.0,0.069,0.0,3339,465,0.0
Andrey Santos,1105779,Chelsea,38,MC,Midfielder,1280,57.74,11,79,2,3,8,0,0.88,1,2.0,39000000.0,95,6.68,20,7.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.41,5.78,1.22,0.029,0.029,3277,697,1.0
Tyler Adams,800419,Bournemouth,60,MC,Midfielder,1778,50.18,10,130,11,6,7,2,0.61,2,0.6,26000000.0,157,7.95,14,7.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,7.92,0.71,0.042,0.023,3742,614,0.548
Ben White,846036,Arsenal,42,DR,Fullback,713,56.13,5,65,2,1,8,1,0.68,0,0.46,27000000.0,73,9.21,18,7.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,8.2,2.02,0.02,0.024,3614,747,1.2
Kevin Danso,794953,Tottenham Hotspur,33,DC,Centerback,1507,50.37,11,125,4,1,3,0,0.27,0,0.59,19400000.0,141,8.42,6,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,8.36,0.36,0.039,0.011,3597,571,0.282
Bryan Mbeumo,927083,Manchester United,35,RW,Winger,2621,51.79,73,167,29,36,47,3,5.04,11,12.19,73000000.0,305,10.47,83,50.0,33.0,46.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.85,10.11,2.75,0.081,0.1,3756,834,1.235
Tijjani Reijnders,893549,Manchester City,17,MC,Midfielder,1640,60.5,49,87,16,26,18,2,2.34,5,4.45,48000000.0,178,9.77,45,19.0,26.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.47,8.07,2.04,0.043,0.049,4135,916,1.14
Douglas Luiz,867887,Aston Villa,40,MC,Midfielder,944,53.55,11,65,3,7,19,0,1.43,1,0.53,19200000.0,86,8.2,34,19.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,7.66,3.03,0.026,0.051,3295,667,1.962
Lewis Hall,1136730,Newcastle United,39,DL,Fullback,2179,52.61,25,186,38,31,25,1,2.75,1,1.01,38000000.0,280,11.56,58,31.0,27.0,26.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,10.99,2.28,0.077,0.089,3629,655,1.156
Jaydee Canvot,1471671,Crystal Palace,7,DC,Centerback,1347,45.92,7,90,5,2,3,0,0.34,0,1.48,25000000.0,104,6.95,7,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,7.57,0.51,0.028,0.012,3757,568,0.429
Mikel Merino,592010,Arsenal,42,MC,Midfielder,1035,56.13,22,89,17,7,12,3,1.46,4,3.38,26000000.0,135,11.74,25,10.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.17,10.46,1.93,0.037,0.033,3614,747,0.892
Wesley Fofana,923894,Chelsea,38,DC,Centerback,1726,57.74,8,99,5,4,3,1,0.62,0,0.72,29000000.0,116,6.05,8,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,5.24,0.36,0.035,0.011,3277,697,0.314
Matty Cash,833956,Aston Villa,40,DR,Fullback,3020,53.55,30,202,17,9,31,3,2.95,3,1.19,19800000.0,258,7.69,54,28.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.61,7.18,1.5,0.078,0.081,3295,667,1.038
Álex Jiménez,1184308,Bournemouth,60,DR,Fullback,2330,50.18,21,172,20,36,14,0,1.61,1,1.13,19900000.0,249,9.62,34,14.0,20.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.31,9.59,1.31,0.067,0.055,3742,614,0.821
André,1035996,Wolverhampton,3,DM,Midfielder,2766,42.82,15,113,30,15,18,0,0.99,1,0.52,26000000.0,173,5.63,38,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.24,6.57,1.45,0.055,0.082,3167,466,1.491
Ismaïla Sarr,845286,Crystal Palace,7,AM,Midfielder,2176,45.92,48,136,43,20,19,1,1.13,9,10.91,43000000.0,247,10.22,36,21.0,15.0,17.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.49,11.13,1.62,0.066,0.063,3757,568,0.955
Tom Cairney,82566,Fulham,43,MC,Midfielder,805,51.71,17,51,4,4,11,0,0.82,2,1.21,530000.0,76,8.5,19,10.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,8.22,2.05,0.021,0.028,3626,674,1.333
Nicolás Domínguez,871765,Nottingham Forest,14,MC,Midfielder,1193,46.76,18,79,5,6,12,1,0.79,1,1.47,13800000.0,108,8.15,18,10.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.36,8.71,1.45,0.031,0.032,3445,570,1.032
Dominic Solanke,361420,Tottenham Hotspur,33,ST,Striker,1000,50.37,20,41,13,13,6,0,0.35,3,2.43,31000000.0,87,7.83,11,5.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.99,7.77,0.98,0.024,0.019,3597,571,0.792
Omar Alderete,805137,Sunderland,41,DC,Centerback,2802,44.84,24,247,12,4,9,1,0.92,1,1.64,13800000.0,287,9.22,16,10.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,10.28,0.57,0.086,0.034,3339,465,0.395
Joël Veltman,219572,Brighton & Hove Albion,30,DR,Fullback,1073,54.08,4,81,2,3,4,0,0.22,1,1.11,1500000.0,90,7.55,14,3.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.17,6.98,1.08,0.024,0.021,3682,680,0.875
Zian Flemming,875137,Burnley,6,ST,Striker,1808,42.29,53,97,17,7,10,0,0.42,11,7.87,12600000.0,174,8.66,23,10.0,13.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.14,10.24,1.35,0.05,0.046,3487,501,0.92
James Ward-Prowse,161717,Burnley,6,MC,Midfielder,1109,42.29,5,69,4,5,23,1,1.88,0,0.22,4500000.0,83,6.74,31,23.0,8.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,7.97,2.98,0.024,0.062,3487,501,2.583
Mateo Kovačić,136710,Manchester City,17,MC,Midfielder,134,60.5,2,13,5,1,4,1,0.44,0,0.16,9700000.0,21,14.1,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,11.65,2.22,0.005,0.004,4135,916,0.8
Calvin Bassey,861972,Fulham,43,DC,Centerback,2544,51.71,13,209,17,10,10,0,0.39,1,1.72,29000000.0,249,8.81,18,9.0,9.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.64,8.52,0.62,0.069,0.027,3626,674,0.391
Idrissa Gana Gueye,106337,Everton,48,MC,Midfielder,2101,43.63,29,135,9,14,13,3,1.77,2,2.0,485000.0,187,8.01,36,15.0,21.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.54,9.18,1.76,0.054,0.063,3490,575,1.167
Ferdi Kadıoğlu,825844,Brighton & Hove Albion,30,DL,Fullback,3134,54.08,28,197,18,10,22,0,3.33,1,2.03,36000000.0,253,7.27,63,25.0,38.0,22.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.81,6.72,1.67,0.069,0.093,3682,680,1.348
Nikola Milenković,836168,Nottingham Forest,14,DC,Centerback,3375,46.76,16,206,2,0,3,0,0.72,0,0.84,26000000.0,224,5.97,13,3.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,6.38,0.37,0.065,0.023,3445,570,0.354
Eli Junior Kroupi,1426228,Bournemouth,60,ST,Striker,1690,50.18,52,112,20,22,22,0,1.53,13,8.35,72000000.0,206,10.97,34,20.0,14.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.81,10.93,1.8,0.055,0.055,3742,614,1.0
William Osula,1122603,Newcastle United,39,ST,Striker,863,52.61,23,16,13,8,6,0,0.62,7,4.29,26000000.0,60,6.26,16,9.0,7.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.67,5.95,1.59,0.017,0.024,3629,655,1.412
Tyrick Mitchell,988275,Crystal Palace,7,ML,Fullback,3253,45.92,19,298,26,28,29,2,2.52,1,1.61,23000000.0,371,10.26,55,30.0,25.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.52,11.17,1.66,0.099,0.097,3757,568,0.98
Kaoru Mitoma,936849,Brighton & Hove Albion,30,LW,Winger,1721,54.08,32,101,23,35,31,1,2.84,3,4.06,20000000.0,191,9.99,57,34.0,23.0,28.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,19.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.98,9.24,2.76,0.052,0.084,3682,680,1.615
Lutsharel Geertruida,856739,Sunderland,41,DR,Fullback,1702,44.84,11,103,3,5,8,0,0.83,0,1.15,22000000.0,122,6.45,20,8.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.06,7.19,1.18,0.037,0.043,3339,465,1.162
Jordan Henderson,42694,Brentford,50,MC,Midfielder,1929,47.61,6,256,6,5,19,3,2.45,1,0.33,1300000.0,273,12.74,36,19.0,17.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.68,13.38,1.76,0.074,0.069,3707,519,0.932
Marcus Tavernier,895576,Bournemouth,60,LW,Winger,2738,50.18,70,185,44,50,55,4,4.64,7,9.06,23000000.0,349,11.47,89,54.0,35.0,49.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.93,11.43,2.92,0.093,0.145,3742,614,1.559
Harrison Reed,365802,Fulham,43,MC,Midfielder,126,51.71,2,3,0,0,3,0,0.46,1,0.13,2100000.0,5,3.57,5,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.45,3.45,0.001,0.007,3626,674,7.0
Freddie Potts,1089582,West Ham United,37,MC,Midfielder,1167,42.53,3,87,5,6,8,1,1.07,0,0.21,10400000.0,101,7.79,16,8.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.23,9.16,1.45,0.029,0.032,3447,499,1.103
Dário Essugo,1110006,Chelsea,38,MC,Midfielder,34,57.74,0,4,2,0,0,0,0.01,0,0.0,13900000.0,6,15.88,0,,,,,,,,,,,,,,,,,,,0.0,13.75,0.0,0.002,0.0,3277,697,0.0
Nathan Aké,149663,Manchester City,17,DC,Centerback,703,60.5,6,56,0,0,7,0,0.53,0,0.72,10900000.0,62,7.94,9,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,6.56,0.95,0.015,0.01,4135,916,0.667
Veljko Milosavljević,1406130,Bournemouth,60,DC,Centerback,375,50.18,1,30,1,0,1,0,0.2,0,0.15,18600000.0,32,7.68,0,,,,,,,,,,,,,,,,,,,0.0,7.65,0.0,0.009,0.0,3742,614,0.0
Rio Cardines,1469007,Crystal Palace,7,ML,Fullback,90,45.92,1,8,1,2,2,0,0.16,0,0.02,290000.0,12,12.0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.07,2.18,0.003,0.004,3757,568,1.333
Pascal Struijk,836675,Leeds United,34,DC,Centerback,2937,45.74,31,212,8,2,12,1,0.78,0,3.02,23000000.0,253,7.75,21,11.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.64,8.47,0.7,0.071,0.036,3578,580,0.507
Joelinton,560128,Newcastle United,39,MC,Midfielder,1953,52.61,32,145,26,14,17,1,1.35,2,2.39,27000000.0,217,10.0,40,17.0,23.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,9.5,1.75,0.06,0.061,3629,655,1.017
Oscar Bobb,1065216,Fulham,43,RW,Winger,1050,51.71,12,57,23,18,22,1,2.11,0,1.48,27000000.0,110,9.43,40,24.0,16.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.43,9.12,3.32,0.03,0.059,3626,674,1.967
Will Hughes,193554,Crystal Palace,7,MC,Midfielder,1577,45.92,17,127,14,7,21,0,1.89,0,1.09,4600000.0,165,9.42,35,23.0,12.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.26,2.18,0.044,0.062,3757,568,1.409
Adrien Truffert,999028,Bournemouth,60,DL,Fullback,3380,50.18,16,258,24,40,32,5,2.98,1,1.36,28000000.0,338,9.0,52,31.0,21.0,28.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.38,8.97,1.38,0.09,0.085,3742,614,0.944
Pape Matar Sarr,1002711,Tottenham Hotspur,33,MC,Midfielder,1399,50.37,17,95,18,9,11,4,1.1,2,1.72,28000000.0,139,8.94,24,9.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.54,8.87,1.53,0.039,0.042,3597,571,1.077
Alejandro Garnacho,1135873,Chelsea,38,LW,Winger,1283,57.74,33,60,12,25,29,4,3.68,1,3.45,26000000.0,130,9.12,44,28.0,16.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.09,7.9,2.68,0.04,0.063,3277,697,1.575
Yasin Ayari,1036269,Brighton & Hove Albion,30,MC,Midfielder,1941,54.08,41,134,19,30,16,3,1.14,3,2.71,36000000.0,224,10.39,35,18.0,17.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.62,9.61,1.5,0.061,0.051,3682,680,0.836
Jean-Ricner Bellegarde,845273,Wolverhampton,3,MC,Midfielder,1251,42.82,21,88,20,12,14,1,1.12,1,0.99,17600000.0,141,10.14,24,15.0,9.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.73,11.84,2.02,0.045,0.052,3167,466,1.156
Tino Livramento,980634,Newcastle United,39,DR,Fullback,1328,52.61,3,73,9,18,11,1,0.95,0,0.14,44000000.0,103,6.98,24,9.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,6.63,1.55,0.028,0.037,3629,655,1.321
Noah Sadiki,1171539,Sunderland,41,MC,Midfielder,2894,44.84,18,162,25,17,19,1,1.44,0,1.46,37000000.0,222,6.9,37,20.0,17.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.15,7.69,1.28,0.066,0.08,3339,465,1.212
Jaidon Anthony,1020680,Burnley,6,LW,Winger,2743,42.29,55,180,41,65,37,2,2.87,8,5.13,19400000.0,341,11.19,72,44.0,28.0,33.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.36,13.23,2.79,0.098,0.144,3487,501,1.469
Kevin,1112879,Fulham,43,LW,Winger,1037,51.71,25,80,23,44,14,1,1.48,1,1.2,26000000.0,172,14.93,33,19.0,14.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.86,14.44,2.77,0.047,0.049,3626,674,1.043
João Gomes,1015267,Wolverhampton,3,MC,Midfielder,2843,42.82,19,210,55,24,16,1,2.08,1,1.28,36000000.0,308,9.75,39,16.0,23.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,11.38,1.44,0.097,0.084,3167,466,0.866
Max Dowman,1917626,Arsenal,42,MC,Midfielder,162,56.13,6,6,7,11,4,0,0.32,1,1.18,31000000.0,30,16.67,12,7.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,14.85,5.94,0.008,0.016,3614,747,2.0
Harvey Barnes,855647,Newcastle United,39,LW,Winger,1961,52.61,58,113,24,32,24,1,2.75,7,7.07,35000000.0,227,10.42,52,28.0,24.0,23.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.39,9.9,2.27,0.063,0.079,3629,655,1.254
Trai Hume,989034,Sunderland,41,DR,Fullback,3037,44.84,34,258,9,14,29,1,2.01,2,2.15,20000000.0,315,9.33,38,25.0,13.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,10.4,1.26,0.094,0.082,3339,465,0.872
Kevin Schade,1006387,Brentford,50,LW,Winger,2757,47.61,57,170,45,55,29,3,2.08,8,12.18,36000000.0,327,10.67,45,28.0,17.0,23.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.47,11.21,1.54,0.088,0.087,3707,519,0.989
Santiago Bueno,846308,Wolverhampton,3,DC,Centerback,2553,42.82,10,147,5,0,10,1,1.45,3,2.28,9200000.0,162,5.71,22,12.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,6.67,0.91,0.051,0.047,3167,466,0.922
Lucas Digne,96538,Aston Villa,40,DL,Fullback,1866,53.55,14,140,11,7,26,6,3.26,0,0.72,5500000.0,172,8.3,44,24.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.12,7.75,1.98,0.052,0.066,3295,667,1.269
Estêvão,1597265,Chelsea,38,RW,Winger,852,57.74,28,52,20,41,16,2,2.2,2,2.92,82000000.0,141,14.89,30,20.0,10.0,11.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.17,12.89,2.75,0.043,0.043,3277,697,1.0
Amine Adli,991478,Bournemouth,60,LW,Winger,1106,50.18,20,94,9,14,16,1,1.62,3,2.6,18100000.0,137,11.15,27,15.0,12.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,11.11,2.19,0.037,0.044,3742,614,1.189
Nathan Collins,958916,Brentford,50,DC,Centerback,2972,47.61,20,296,10,3,11,2,1.62,1,2.28,29000000.0,329,9.96,20,12.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.61,10.46,0.64,0.089,0.039,3707,519,0.438
Sávio,1046795,Manchester City,17,LW,Winger,846,60.5,20,64,9,36,9,1,1.62,1,2.33,37000000.0,129,13.72,29,11.0,18.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.09,11.34,2.55,0.031,0.032,4135,916,1.032
Tim Iroegbunam,1085950,Everton,48,MC,Midfielder,1505,43.63,12,91,28,25,8,2,0.71,0,0.6,18500000.0,156,9.33,24,10.0,14.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.44,10.69,1.65,0.045,0.042,3490,575,0.933
Benjamin Šeško,986397,Manchester United,35,ST,Striker,1635,51.79,61,95,30,20,9,1,0.28,11,9.2,78000000.0,206,11.34,23,13.0,10.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,10.95,1.23,0.055,0.028,3756,834,0.509
Axel Disasi,827243,West Ham United,37,DC,Centerback,1255,42.53,5,76,3,0,1,0,0.05,0,1.02,15500000.0,84,6.02,3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,7.08,0.26,0.024,0.006,3447,499,0.25
Tomáš Souček,799041,West Ham United,37,MC,Midfielder,2215,42.53,26,200,8,7,11,0,0.53,5,5.68,9700000.0,241,9.79,27,12.0,15.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.1,11.51,1.29,0.07,0.054,3447,499,0.771
Jean-Philippe Mateta,848276,Crystal Palace,7,ST,Striker,2222,45.92,63,119,41,17,9,0,1.31,12,14.51,29000000.0,240,9.72,23,11.0,12.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.93,10.58,1.01,0.064,0.04,3757,568,0.625
Yehor Yarmoliuk,1031258,Brentford,50,MC,Midfielder,2675,47.61,16,211,23,27,15,2,1.39,1,1.2,30000000.0,277,9.32,26,14.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,9.79,0.91,0.075,0.05,3707,519,0.667
Bertrand Traoré,218160,Sunderland,41,RW,Winger,638,44.84,13,37,9,8,8,0,0.24,1,0.52,3800000.0,67,9.45,12,9.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,10.54,1.88,0.02,0.026,3339,465,1.3
Sebastiaan Bornauw,826167,Leeds United,34,DC,Centerback,439,45.74,1,25,1,1,0,0,0.02,0,0.2,7800000.0,28,5.74,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21,6.27,0.23,0.008,0.002,3578,580,0.25
Diego Gómez,1065588,Brighton & Hove Albion,30,MC,Midfielder,2136,54.08,42,166,29,22,21,1,1.71,5,6.29,27000000.0,259,10.91,41,19.0,22.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.73,10.09,1.6,0.07,0.06,3682,680,0.857
Omari Hutchinson,1090963,Nottingham Forest,14,RW,Winger,1694,46.76,25,91,29,38,33,5,3.91,1,1.94,28000000.0,183,9.72,58,35.0,23.0,29.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.08,10.39,3.29,0.053,0.102,3445,570,1.925
