playerName,playerId,teamName,teamId,primaryPosition,positionGroup,minutesPlayed,averageBallPossession,totalShots,inaccuratePasses,dispossessed,unsuccessfulDribbles,keyPasses,assists,expectedAssists,goals,expectedGoals,marketValue,PEA,PEA/90,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca,SCA/90,adjPEA/90,adjSCA/90,usageRate,attackingInvolvement,teamTotalPEA,teamTotalSCA,RCE
Hugo Ekitiké,1048422,Liverpool FC,44,ST,Striker,1810,59.21,65,93,26,34,21,4,2.67,11,9.87,77000000.0,218,10.84,48,30.0,18.0,17.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.39,9.15,2.02,0.057,0.055,3807,878,0.965
Igor Thiago,1016907,Brentford,50,ST,Striker,3284,47.61,84,194,42,24,24,1,1.88,22,20.57,68000000.0,344,9.43,46,27.0,19.0,19.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.26,9.9,1.32,0.093,0.089,3707,519,0.957
Morgan Gibbs-White,865912,Nottingham Forest,14,AM,Midfielder,3110,46.76,83,228,37,33,49,4,2.92,15,10.84,67000000.0,381,11.03,90,53.0,37.0,46.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.6,11.79,2.78,0.111,0.158,3445,570,1.423
Enzo Le Fée,984014,Sunderland,41,MC,Midfielder,2944,44.84,36,207,31,33,53,6,5.92,5,5.16,26000000.0,307,9.39,76,54.0,22.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,10.47,2.59,0.092,0.163,3339,465,1.772
Lewis Miley,1400650,Newcastle United,39,MC,Midfielder,1494,52.61,12,86,9,2,15,4,2.11,1,1.34,27000000.0,109,6.57,30,14.0,16.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,6.24,1.72,0.03,0.046,3629,655,1.533
Kenny Tete,190877,Fulham,43,DR,Fullback,1802,51.71,16,138,16,14,11,0,1.42,1,0.96,8700000.0,184,9.19,24,14.0,10.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,8.89,1.16,0.051,0.036,3626,674,0.706
Jurriën Timber,958959,Arsenal,42,DR,Fullback,2457,56.13,25,160,25,20,27,5,1.61,3,4.77,73000000.0,230,8.42,50,29.0,21.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.83,7.5,1.63,0.064,0.067,3614,747,1.047
Tosin Adarabioyo,352668,Chelsea,38,DC,Centerback,796,57.74,2,72,1,0,1,0,0.4,0,0.11,16500000.0,75,8.48,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,7.34,0.29,0.023,0.004,3277,697,0.174
Mohamed Salah,159665,Liverpool FC,44,RW,Winger,2148,59.21,68,183,50,53,49,7,5.31,7,8.16,21000000.0,354,14.83,83,52.0,31.0,45.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,23.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.48,12.52,2.94,0.093,0.095,3807,878,1.022
Josh Cullen,792122,Burnley,6,MC,Midfielder,1519,42.29,11,138,10,4,13,2,1.35,2,0.9,4099999.0,163,9.66,24,15.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,11.42,1.68,0.047,0.048,3487,501,1.021
John McGinn,250223,Aston Villa,40,RW,Winger,2169,53.55,28,133,46,20,41,4,3.99,5,2.96,12600000.0,227,9.42,64,42.0,22.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.66,8.8,2.48,0.069,0.096,3295,667,1.391
Ayden Heaven,1445799,Manchester United,35,DC,Centerback,938,51.79,3,47,1,2,2,1,0.18,0,0.35,32000000.0,53,5.09,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,4.91,0.37,0.014,0.005,3756,834,0.357
Lucas Paquetá,839981,West Ham United,37,AM,Midfielder,1521,42.53,23,181,27,26,23,1,2.11,4,2.82,36000000.0,257,15.21,31,20.0,11.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.83,17.88,2.15,0.075,0.062,3447,499,0.827
Pedro Porro,913654,Tottenham Hotspur,33,DR,Fullback,2798,50.37,32,368,9,26,56,2,4.48,1,1.05,42000000.0,435,13.99,88,55.0,33.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.83,13.89,2.81,0.121,0.154,3597,571,1.273
Cody Gakpo,862967,Liverpool FC,44,LW,Winger,2754,59.21,87,161,28,35,54,5,4.69,7,8.46,58000000.0,311,10.16,90,55.0,35.0,49.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.94,8.58,2.48,0.082,0.103,3807,878,1.256
Jaka Bijol,886930,Leeds United,34,DC,Centerback,1913,45.74,15,153,0,1,7,2,0.78,1,0.88,18500000.0,169,7.95,11,5.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,8.69,0.57,0.047,0.019,3578,580,0.404
Piero Hincapié,1002837,Arsenal,42,DL,Fullback,1792,56.13,3,93,5,7,13,2,1.63,1,0.36,46000000.0,108,5.42,25,11.0,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.26,4.83,1.12,0.03,0.033,3614,747,1.1
Ben Davies,94758,Tottenham Hotspur,33,DC,Centerback,138,50.37,2,9,1,0,1,0,0.09,1,0.49,2800000.0,12,7.83,2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7.77,1.29,0.003,0.004,3597,571,1.333
Rayan Aït-Nouri,931278,Manchester City,17,DL,Fullback,976,60.5,10,57,12,20,12,2,2.02,0,0.59,39000000.0,99,9.13,23,12.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.12,7.55,1.75,0.024,0.025,4135,916,1.042
Cristhian Mosquera,1144630,Arsenal,42,DC,Centerback,1003,56.13,1,55,8,2,5,0,0.63,0,0.1,38000000.0,66,5.92,11,5.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,5.27,0.88,0.018,0.015,3614,747,0.833
Michael Keane,110846,Everton,48,DC,Centerback,2619,43.63,26,160,5,5,2,1,0.51,3,2.33,2800000.0,196,6.74,7,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.24,7.72,0.28,0.056,0.012,3490,575,0.214
Amad Diallo,971037,Manchester United,35,RW,Winger,2344,51.79,53,109,25,40,41,3,4.78,2,5.57,44000000.0,227,8.72,83,52.0,31.0,44.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,3.19,8.42,3.08,0.06,0.1,3756,834,1.667
Neco Williams,927356,Nottingham Forest,14,DL,Fullback,3206,46.76,46,241,28,40,37,3,3.96,2,1.97,26000000.0,355,9.97,63,34.0,29.0,31.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.77,10.66,1.89,0.103,0.111,3445,570,1.078
Maxence Lacroix,879674,Crystal Palace,7,DC,Centerback,3087,45.92,24,196,6,4,7,2,0.89,1,2.38,54000000.0,230,6.71,19,8.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.55,7.31,0.6,0.061,0.033,3757,568,0.541
Ola Aina,800417,Nottingham Forest,14,DR,Fullback,1590,46.76,12,96,15,19,10,0,0.82,0,0.4,16399999.0,142,8.04,18,8.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.02,8.6,1.09,0.041,0.032,3445,570,0.78
Mateus Mané,1899647,Wolverhampton,3,AM,Midfielder,1799,42.82,42,89,41,53,31,1,3.69,3,2.01,18500000.0,225,11.26,54,39.0,15.0,29.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.7,13.15,3.15,0.071,0.116,3167,466,1.634
Noussair Mazraoui,847030,Manchester United,35,DR,Fullback,1022,51.79,5,69,4,7,7,0,0.36,0,0.19,17500000.0,85,7.49,19,8.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.67,7.23,1.61,0.023,0.023,3756,834,1.0
Nathan Patterson,1020141,Everton,48,DR,Fullback,266,43.63,1,20,1,4,0,0,0.04,0,0.03,10900000.0,26,8.8,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,10.08,0.78,0.007,0.003,3490,575,0.429
Harry Maguire,149380,Manchester United,35,DC,Centerback,1667,51.79,14,118,2,1,4,2,0.52,1,1.11,8600000.0,135,7.29,13,5.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.04,0.68,0.036,0.016,3756,834,0.444
Xavi Simons,997183,Tottenham Hotspur,33,AM,Midfielder,1769,50.37,42,137,30,38,35,5,3.86,2,3.08,43000000.0,247,12.57,58,43.0,15.0,35.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.95,12.48,2.93,0.069,0.102,3597,571,1.478
Chris Richards,931844,Crystal Palace,7,DC,Centerback,2826,45.92,15,237,11,2,9,0,1.38,1,2.36,25000000.0,265,8.44,20,11.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.64,9.19,0.7,0.071,0.035,3757,568,0.493
Kobbie Mainoo,1142175,Manchester United,35,MC,Midfielder,1670,51.79,13,113,31,16,22,2,1.28,1,0.48,72000000.0,173,9.32,41,22.0,19.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.21,9.0,2.13,0.046,0.049,3756,834,1.065
Jorge Cuenca,868715,Fulham,43,DC,Centerback,965,51.71,1,73,0,3,3,0,0.56,0,0.05,8600000.0,77,7.18,6,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,6.94,0.54,0.021,0.009,3626,674,0.429
Samuel Chukwueze,822470,Fulham,43,RW,Winger,1075,51.71,25,108,15,21,24,4,3.3,3,2.07,18500000.0,169,14.15,46,29.0,17.0,24.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.85,13.68,3.72,0.047,0.068,3626,674,1.447
Callum Hudson Odoi,867442,Nottingham Forest,14,LW,Winger,1849,46.76,30,71,22,28,44,4,2.98,3,2.8,32000000.0,151,7.35,0,,,,,,,,,,,,,,,,,,,0.0,7.86,0.0,0.044,0.0,3445,570,0.0
Riccardo Calafiori,957602,Arsenal,42,DL,Fullback,1707,56.13,32,109,10,8,9,2,0.76,1,3.34,53000000.0,159,8.38,32,10.0,22.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.69,7.46,1.51,0.044,0.043,3614,747,0.977
Dango Ouattara,1106451,Brentford,50,RW,Winger,2279,47.61,56,179,31,57,27,3,4.17,7,7.72,36000000.0,323,12.76,49,36.0,13.0,26.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.94,13.4,2.04,0.087,0.094,3707,519,1.08
Pau Torres,864169,Aston Villa,40,DC,Centerback,1676,53.55,9,128,4,4,1,0,0.37,0,1.27,21000000.0,145,7.79,11,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,7.27,0.55,0.044,0.016,3295,667,0.364
Nico O'Reilly,1142703,Manchester City,17,DL,Fullback,2648,60.5,41,187,34,35,23,3,2.69,5,6.03,76000000.0,297,10.09,45,24.0,21.0,17.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.53,8.34,1.26,0.072,0.049,4135,916,0.681
Ollie Watkins,555386,Aston Villa,40,ST,Striker,2852,53.55,83,130,43,30,23,3,1.3,16,15.14,26000000.0,286,9.03,51,32.0,19.0,17.0,6.0,1.0,6.0,0.0,0.0,1.0,1.0,12.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.61,8.43,1.5,0.087,0.076,3295,667,0.874
