player,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca
Noah Okafor,38,18,20,16,2,0,0,0,0,0,0,12,1,1,0,5,1,0,0
Noah Sadiki,37,20,17,18,0,1,1,0,0,0,0,15,0,1,0,1,0,0,0
Noni Madueke,39,25,14,21,0,0,3,1,0,0,0,13,0,0,0,1,0,0,0
Nordi Mukiele,46,24,22,22,0,1,1,0,0,0,0,16,1,0,0,4,1,0,0
Noussair Mazraoui,19,8,11,7,0,0,1,0,0,0,0,9,0,1,0,1,0,0,0
Ola Aina,18,8,10,7,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0
Oleksandr Zinchenko,10,4,6,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Oliver Sonne,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Olivier Boscagli,16,4,12,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Ollie Scarles,13,6,7,4,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0
Ollie Watkins,51,32,19,17,6,1,6,0,0,1,1,12,2,1,0,4,0,0,0
Omar Alderete,16,10,6,6,3,0,1,0,0,0,0,5,1,0,0,0,0,0,0
Omar Marmoush,19,14,5,9,2,2,1,0,0,0,0,3,1,1,0,0,0,0,0
Omari Hutchinson,58,35,23,29,0,1,5,0,0,0,0,21,1,0,0,1,0,0,0
Oscar Bobb,40,24,16,21,0,0,2,0,0,0,1,15,0,1,0,0,0,0,0
Pablo,21,13,8,9,3,0,0,0,0,0,1,4,1,0,0,2,1,0,0
Pape Matar Sarr,24,9,15,8,0,0,1,0,0,0,0,11,3,1,0,0,0,0,0
Pascal Groß,56,40,16,40,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0
Pascal Struijk,21,11,10,11,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0
Patrick Dorgu,41,27,14,25,0,0,2,0,0,0,0,10,0,0,0,4,0,0,0
Pau Torres,11,2,9,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Pedro Lima,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pedro Neto,89,55,34,48,0,1,4,1,0,0,1,32,0,0,0,2,0,0,0
Pedro Porro,88,55,33,54,1,0,0,0,0,0,0,28,0,0,0,5,0,0,0
Phil Foden,94,59,35,50,1,2,6,0,0,0,0,30,3,1,0,1,0,0,0
Piero Hincapié,25,11,14,9,2,0,0,0,0,0,0,12,0,0,0,2,0,0,0
Quilindschy Hartman,29,21,8,20,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0
Radu Dragusin,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Randal Kolo Muani,32,21,11,17,3,0,1,0,0,0,0,9,0,0,0,2,0,0,0
Rayan,29,17,12,13,1,0,2,1,0,0,0,9,0,0,0,2,1,0,0
Rayan Aït-Nouri,23,12,11,11,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0
Rayan Cherki,93,61,32,55,0,0,6,0,0,0,0,29,0,0,0,2,1,0,0
Raúl Jiménez,39,25,14,20,2,1,2,0,0,0,0,10,0,0,0,3,1,0,0
Reece James,43,25,18,22,0,2,1,0,0,0,0,18,0,0,0,0,0,0,0
Reinildo Mandava,11,7,4,5,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0
Reiss Nelson,6,2,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Riccardo Calafiori,32,10,22,6,1,0,3,0,0,0,0,14,2,1,0,4,1,0,0
Richarlison,28,22,6,13,6,1,2,0,0,0,0,1,1,0,0,3,1,0,0
Rico Henry,12,6,6,4,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0
Rico Lewis,14,7,7,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
Rio Cardines,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Ngumoha,25,16,9,15,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0
Robert Sánchez,6,4,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Robin Roefs,8,3,5,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Rodri,43,28,15,25,0,2,0,0,0,1,0,15,0,0,0,0,0,0,0
Rodrigo Bentancur,24,10,14,9,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Rodrigo Gomes,14,7,7,3,0,1,3,0,0,0,0,4,0,0,0,3,0,0,0
Rodrigo Muniz,12,7,5,2,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0
Romaine Mundle,5,2,3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Romelle Donovan,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Roméo Lavia,6,1,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Ross Barkley,22,11,11,9,0,1,1,0,0,0,0,9,0,1,0,1,0,0,0
Ryan Christie,25,12,13,8,2,1,1,0,0,0,0,13,0,0,0,0,0,0,0
Ryan Gravenberch,73,35,38,26,1,4,4,0,0,0,0,31,1,3,0,3,0,0,0
Ryan Sessegnon,30,14,16,14,0,0,0,0,0,0,0,13,1,0,0,2,0,0,0
Ryan Yates,11,5,6,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Rúben Dias,13,5,8,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Sam Johnstone,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Samuel Chukwueze,46,29,17,24,1,0,3,0,0,1,0,13,0,1,0,3,0,0,0
Sander Berge,50,25,25,22,2,0,1,0,0,0,0,24,0,0,0,1,0,0,0
Sandro Tonali,51,30,21,29,0,0,1,0,0,0,0,19,0,1,0,1,0,0,0
