player,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca
Charalampos Kostoulas,10,8,2,6,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Charly Alcaraz,14,10,4,8,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0
Chemsdine Talbi,20,13,7,11,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0
Chris Richards,20,11,9,11,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Chris Rigg,11,9,2,5,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0
Chris Wood,11,7,4,6,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0
Christantus Uche,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cody Gakpo,90,55,35,49,2,2,2,0,0,0,0,30,1,1,0,3,0,0,0
Cole Palmer,59,33,26,24,0,4,3,0,0,0,2,24,1,0,0,1,0,0,0
Conor Bradley,9,5,4,4,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0
Conor Gallagher,26,14,12,13,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0
Cristhian Mosquera,11,5,6,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Cristian Romero,15,10,5,8,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0
Crysencio Summerville,62,33,29,26,1,2,3,0,0,0,1,18,3,3,0,4,0,1,0
Curtis Jones,42,17,25,17,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0
Daichi Kamada,42,21,21,20,0,1,0,0,0,0,0,17,2,0,0,2,0,0,0
Dan Ballard,16,13,3,10,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Dan Burn,17,9,8,5,2,1,0,1,0,0,0,7,0,0,0,1,0,0,0
Dan Ndoye,23,16,7,14,1,0,1,0,0,0,0,6,0,0,0,1,0,0,0
Dango Ouattara,49,36,13,26,0,4,5,0,0,1,0,8,0,2,0,3,0,0,0
Daniel James,20,9,11,8,0,1,0,0,0,0,0,7,0,1,0,3,0,0,0
Daniel Muñoz,45,25,20,25,0,0,0,0,0,0,0,16,0,1,0,3,0,0,0
Danny Welbeck,32,19,13,17,1,0,1,0,0,0,0,10,0,1,0,2,0,0,0
David Brooks,46,33,13,28,0,1,3,1,0,0,0,11,1,0,0,1,0,0,0
David Møller Wolfe,13,6,7,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
David Raya,5,3,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Dean Henderson,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Declan Rice,97,57,40,57,0,0,0,0,0,0,0,36,1,0,0,3,0,0,0
Dennis Cirkin,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Destiny Udogie,24,13,11,12,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0
Diego Coppola,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Diego Gómez,41,19,22,18,0,0,1,0,0,0,0,19,1,0,0,2,0,0,0
Dilane Bakwa,20,14,6,12,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0
Diogo Dalot,50,26,24,26,0,0,0,0,0,0,0,19,0,2,0,3,0,0,0
Divine Mukasa,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Djed Spence,33,12,21,9,0,0,3,0,0,0,0,16,1,0,0,4,0,0,0
Djordje Petrovic,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Dominic Calvert-Lewin,44,28,16,19,2,2,3,0,0,2,0,11,0,2,0,3,0,0,0
Dominic Solanke,11,5,6,3,1,0,1,0,0,0,0,2,2,0,0,2,0,0,0
Dominik Szoboszlai,140,79,61,72,2,2,2,0,0,0,1,55,0,0,0,4,2,0,0
Donyell Malen,18,12,6,6,1,0,4,0,0,1,0,5,1,0,0,0,0,0,0
Douglas Luiz,34,19,15,19,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0
Dwight McNeil,27,15,12,11,1,0,2,0,0,1,0,9,0,1,0,1,1,0,0
Eberechi Eze,38,19,19,15,0,0,4,0,0,0,0,14,0,1,0,4,0,0,0
Eddie Nketiah,10,8,2,5,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0
El Hadji Malick Diouf,50,31,19,28,2,0,1,0,0,0,0,16,0,0,0,2,1,0,0
Eliezer Mayenda,8,6,2,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Elliot Anderson,113,57,56,50,1,3,3,0,0,0,0,54,1,1,0,0,0,0,0
Emile Smith Rowe,34,17,17,16,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0
Emiliano Buendía,45,32,13,30,0,1,1,0,0,0,0,10,1,1,0,0,1,0,0
Emiliano Martínez,6,2,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Emmanuel Agbadou,10,3,7,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Enes Ünal,6,5,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Enzo Fernández,107,71,36,61,3,6,1,0,0,0,0,33,1,1,0,1,0,0,0
Enzo Le Fée,76,54,22,52,1,1,0,0,0,0,0,21,1,0,0,0,0,0,0
Erling Haaland,47,30,17,20,3,0,7,0,0,0,0,10,3,1,0,3,0,0,0
Estêvão,30,20,10,11,2,1,6,0,0,0,0,9,0,0,0,1,0,0,0
Ethan Ampadu,48,23,25,19,1,2,1,0,0,0,0,22,1,0,0,2,0,0,0
Ethan Nwaneri,5,2,3,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0
Evanilson,50,35,15,28,3,3,1,0,0,0,0,11,0,3,0,1,0,0,0
Evann Guessand,18,6,12,4,0,2,0,0,0,0,0,7,1,2,0,1,1,0,0
Ezra Mayers,4,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ezri Konsa,19,6,13,4,1,0,0,1,0,0,0,12,0,0,0,1,0,0,0
Fabian Schär,4,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Facundo Buonanotte,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Federico Chiesa,8,3,5,2,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0
Fer López,8,4,4,3,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0
Ferdi Kadioglu,63,25,38,22,1,0,1,0,0,1,0,36,0,0,0,2,0,0,0
Florentino,22,12,10,12,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0
Florian Wirtz,112,64,48,59,0,1,3,0,0,0,1,45,0,0,0,3,0,0,0
Frank Onyeka,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Potts,16,8,8,7,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0
Fábio Carvalho,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gabriel Gudmundsson,36,21,15,19,0,2,0,0,0,0,0,12,0,1,0,2,0,0,0
Gabriel Jesus,5,4,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Gabriel Magalhães,18,8,10,4,2,1,0,0,0,1,0,10,0,0,0,0,0,0,0
Gabriel Martinelli,24,16,8,12,0,0,3,1,0,0,0,6,1,0,0,1,0,0,0
Georginio Rutter,42,28,14,23,1,2,2,0,0,0,0,9,1,2,1,1,0,0,0
Gianluigi Donnarumma,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Giorgi Mamardashvili,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Granit Xhaka,73,32,41,31,1,0,0,0,0,0,0,40,0,0,0,1,0,0,0
Guglielmo Vicario,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Guido Rodríguez,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Habib Diarra,18,7,11,5,0,0,2,0,0,0,0,8,0,1,0,2,0,0,0
Hamed Traoré,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal Mejbri,29,18,11,16,0,1,1,0,0,0,0,10,0,0,0,1,0,0,0
Harrison Armstrong,12,5,7,4,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0
Harrison Reed,5,3,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Harry Maguire,13,5,8,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Harry Wilson,66,40,26,37,0,1,2,0,0,0,0,23,2,0,0,1,0,0,0
Harvey Barnes,52,28,24,23,0,0,5,0,0,0,0,18,1,1,0,4,0,0,0
Harvey Elliott,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Hjalmar Ekdal,6,3,3,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Hugo Bueno,59,38,21,37,1,0,0,0,0,0,0,19,0,1,0,1,0,0,0
Hugo Ekitiké,48,30,18,17,5,0,7,0,0,0,1,13,4,0,0,1,0,0,0
Hwang Hee-Chan,27,16,11,15,1,0,0,0,0,0,0,9,0,1,0,1,0,0,0
Ian Maatsen,40,29,11,24,0,1,3,1,0,0,0,9,0,0,0,2,0,0,0
Ibrahim Sangaré,22,13,9,12,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0
Ibrahima Konaté,21,8,13,7,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Idrissa Gueye,36,15,21,13,0,2,0,0,0,0,0,18,0,1,0,2,0,0,0
Igor Jesus,38,20,18,13,1,1,3,2,0,0,0,13,0,0,0,4,0,1,0
Igor Julio,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor Thiago,46,27,19,19,3,0,5,0,0,0,0,15,0,0,0,4,0,0,0
Ilia Gruev,16,11,5,10,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0
Iliman Ndiaye,63,39,24,30,0,0,8,1,0,0,0,22,0,0,0,2,0,0,0
Ismaïla Sarr,36,21,15,17,2,1,0,1,0,0,0,11,1,1,0,2,0,0,0
Issa Diop,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jack Fletcher,3,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jack Grealish,64,43,21,37,2,2,2,0,0,0,0,18,0,0,0,3,0,0,0
Jack Harrison,6,1,5,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Jack Hinshelwood,33,17,16,15,1,1,0,0,0,0,0,13,0,1,0,2,0,0,0
Jackson Tchatchoua,31,21,10,19,2,0,0,0,0,0,0,7,0,0,0,3,0,0,0
Jacob Bruun Larsen,22,12,10,12,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0
Jacob Murphy,45,28,17,22,0,0,5,1,0,0,0,11,0,0,0,6,0,0,0
Jacob Ramsey,35,22,13,22,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0
Jadon Sancho,29,22,7,21,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0
Jaidon Anthony,72,44,28,33,1,1,9,0,0,0,0,25,0,1,0,2,0,0,0
Jair Cunha,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Jaka Bijol,11,5,6,4,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0
Jake O'Brien,28,17,11,16,1,0,0,0,0,0,0,9,0,1,0,1,0,0,0
Jamaldeen Jimoh-Aloba,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
James Garner,86,58,28,56,0,0,2,0,0,0,0,27,0,1,0,0,0,0,0
James Hill,23,9,14,9,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0
James Justin,25,11,14,11,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0
James Maddison,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
James McAtee,7,6,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
James Milner,14,6,8,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
James Tarkowski,24,18,6,17,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0
James Ward-Prowse,31,23,8,22,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
Jamie Gittens,15,11,4,9,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0
Jan Paul van Hecke,31,13,18,11,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Jarrad Branthwaite,7,3,4,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0
Jarrod Bowen,87,52,35,39,5,0,7,1,0,0,0,26,1,0,0,7,0,1,0
Jaydee Canvot,7,3,4,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Jayden Bogle,44,24,20,22,1,0,1,0,0,0,0,13,0,1,0,6,0,0,0
Jean-Clair Todibo,6,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Jean-Philippe Mateta,23,11,12,7,2,1,1,0,0,0,0,7,2,0,0,3,0,0,0
Jean-Ricner Bellegarde,24,15,9,11,1,3,0,0,0,0,0,8,0,0,0,1,0,0,0
Jefferson Lerma,28,13,15,11,1,0,0,0,0,1,0,13,0,0,0,1,1,0,0
Jeremie Frimpong,32,15,17,13,0,0,2,0,0,0,0,11,0,2,0,4,0,0,0
Jesse Derry,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jhon Arias,21,13,8,11,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0
Joachim Andersen,27,5,22,5,0,0,0,0,0,0,0,16,2,0,0,3,1,0,0
Jocelin Ta Bi,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Joe Gomez,10,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Joe Rodon,18,9,9,7,2,0,0,0,0,0,0,3,2,1,0,3,0,0,0
Joe Willock,23,14,9,14,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0
Joelinton,40,17,23,13,2,0,2,0,0,0,0,23,0,0,0,0,0,0,0
John McGinn,64,42,22,42,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0
John Stones,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jonah Kusi-Asare,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jordan Henderson,36,19,17,18,1,0,0,0,0,0,0,16,0,0,0,1,0,0,0
Jordan Pickford,5,2,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Jorge Cuenca,6,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Jorrel Hato,16,8,8,7,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Josh Acheampong,4,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Josh Cullen,24,15,9,14,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0
Josh King,33,20,13,12,1,3,4,0,0,0,0,10,1,1,0,1,0,0,0
Josh Laurent,18,12,6,11,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0
Joshua Zirkzee,21,11,10,8,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0
Josko Gvardiol,15,5,10,4,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0
José Sá,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Gomes,39,16,23,14,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0
João Palhinha,25,10,15,5,2,0,1,0,0,1,1,11,0,0,0,3,1,0,0
João Pedro,57,33,24,20,6,3,4,0,0,0,0,18,1,3,0,2,0,0,0
Joël Piroe,6,1,5,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Joël Veltman,14,3,11,3,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0
Junior Kroupi,34,20,14,19,1,0,0,0,0,0,0,12,0,0,0,2,0,0,0
Jurriën Timber,50,29,21,25,2,1,1,0,0,0,0,18,0,1,0,2,0,0,0
Justin Devenny,16,7,9,6,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0
Justin Kluivert,34,22,12,21,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Jérémy Doku,110,73,37,56,1,3,11,1,0,1,0,31,0,0,0,6,0,0,0
Jørgen Strand Larsen,26,16,10,10,1,1,3,0,0,1,0,7,2,0,0,1,0,0,0
Kai Havertz,16,11,5,10,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
Kaoru Mitoma,57,34,23,28,2,0,3,0,0,0,1,19,0,1,0,3,0,0,0
Karl Darlow,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Keane Lewis-Potter,36,21,15,19,0,1,1,0,0,0,0,12,0,2,0,1,0,0,0
Kenny Tete,24,14,10,11,0,1,2,0,0,0,0,9,0,0,0,1,0,0,0
Kepa Arrizabalaga,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kevin,33,19,14,16,0,0,3,0,0,0,0,13,0,0,0,1,0,0,0
Kevin Danso,6,3,3,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Kevin Schade,45,28,17,23,3,0,1,0,0,1,0,9,2,1,0,4,1,0,0
Ki-Jana Hoever,7,4,3,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Kieran Trippier,48,27,21,27,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,66,40,26,36,0,1,2,1,0,0,0,21,0,1,0,4,0,0,0
Kobbie Mainoo,41,22,19,21,1,0,0,0,0,0,0,17,0,0,0,2,0,0,0
Konstantinos Mavropanos,11,4,7,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Kristoffer Ajer,9,4,5,3,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Kyle Walker,33,13,20,13,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0
Kyle Walker-Peters,16,7,9,6,0,0,1,0,0,0,0,7,0,1,0,1,0,0,0
Ladislav Krejcí,16,7,9,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Lamare Bogarde,7,2,5,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Leandro Trossard,58,41,17,35,0,0,5,0,0,1,0,12,1,1,0,3,0,0,0
Leny Yoro,14,5,9,3,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0
Leon Bailey,16,12,4,11,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
Lesley Ugochukwu,30,15,15,7,2,3,3,0,0,0,0,13,0,1,0,1,0,0,0
Levi Colwill,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lewis Cook,19,10,9,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Lewis Dunk,22,7,15,5,1,1,0,0,0,0,0,15,0,0,0,0,0,0,0
Lewis Hall,58,31,27,26,0,1,3,1,0,0,0,26,0,0,0,1,0,0,0
Lewis Miley,30,14,16,13,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Liam Delap,12,5,7,3,0,1,0,0,0,1,0,5,1,0,0,1,0,0,0
Lisandro Martínez,12,4,8,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Lorenzo Lucca,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Loum Tchaouna,22,13,9,11,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0
Luca Netz,3,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lucas Bergvall,11,4,7,3,1,0,0,0,0,0,0,4,1,0,0,2,0,0,0
Lucas Digne,44,24,20,24,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0
Lucas Paquetá,31,20,11,19,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0
Lucas Pires,31,19,12,18,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0
Lukas Nmecha,22,12,10,11,0,0,1,0,0,0,0,8,0,1,0,1,0,0,0
Luke O'Nien,4,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Luke Shaw,32,12,20,12,0,0,0,0,0,0,0,16,0,0,0,3,1,0,0
Lutsharel Geertruida,20,8,12,8,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0
Luís Guilherme,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lyle Foster,19,12,7,7,3,1,1,0,0,0,0,5,0,0,0,2,0,0,0
Mads Hermansen,6,3,3,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Malick Thiaw,9,4,5,3,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Malo Gusto,54,26,28,25,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0
Manuel Ugarte,13,2,11,2,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0
Marc Cucurella,57,35,22,30,4,1,0,0,0,0,0,18,0,0,0,2,2,0,0
